name,position,age,club,nation,appearances,goals,assists
Keita Baldé,"FW,MF",30.0,Monza,sn SEN,4,1,0
Carlos Baleba,MF,21.0,Brighton,cm CMR,24,2,1
Leonardo Balerdi,DF,26.0,Marseille,ar ARG,21,0,0
Iván Balliu,DF,33.0,Rayo Vallecano,al ALB,19,0,0
Fodé Ballo-Touré,DF,28.0,Le Havre,sn SEN,4,0,0
Botond Balogh,DF,22.0,Parma,hu HUN,23,0,1
Folarin Balogun,FW,23.0,Monaco,us USA,7,3,0
Mario Balotelli,"FW,MF",34.0,Genoa,it ITA,6,0,0
Abdoulaye Bamba,DF,34.0,Angers,ci CIV,13,0,0
Jonathan Bamba,"FW,MF",28.0,Celta Vigo,ci CIV,12,0,1
Mohamed Bamba,MF,20.0,Reims,ci CIV,2,0,0
Samuel Bamba,"FW,DF",21.0,Bochum,de GER,4,0,0
Lameck Banda,"FW,MF",24.0,Lecce,zm ZAM,11,0,1
Daniel Bandeira,MF,24.0,Hellas Verona,pt POR,11,0,0
Mattia Bani,DF,31.0,Genoa,it ITA,17,0,0
Noahkai Banks,DF,18.0,Augsburg,us USA,7,0,0
Scott Banks,"FW,MF",23.0,St. Pauli,sct SCO,11,0,0
Adrian Baquerin,FW,18.0,Valladolid,es ESP,1,0,0
Antonín Barák,MF,30.0,Fiorentina,cz CZE,1,0,0
Federico Barba,DF,31.0,Como,it ITA,7,0,0
Valentín Barco,"DF,FW",20.0,Sevilla,ar ARG,7,0,0
Valentín Barco,"DF,MF",20.0,Strasbourg,ar ARG,5,0,1
Bradley Barcola,FW,22.0,Paris S-G,fr FRA,25,13,7
Melvin Bard,"DF,MF",24.0,Nice,fr FRA,17,1,0
Nicolò Barella,MF,28.0,Inter,it ITA,25,3,5
Gabriel Bares,"MF,DF",24.0,Montpellier,ch SUI,6,0,0
Borna Barišić,DF,32.0,Leganés,hr CRO,1,0,0
Kike Barja,"FW,MF",27.0,Osasuna,es ESP,9,0,0
Ross Barkley,MF,31.0,Aston Villa,eng ENG,16,3,1
Aymen Barkok,MF,26.0,Mainz 05,ma MAR,4,0,0
Harvey Barnes,FW,27.0,Newcastle Utd,eng ENG,22,5,1
Enzo Barrenechea,MF,23.0,Valencia,ar ARG,20,1,2
Ander Barrenetxea,"MF,FW",23.0,Real Sociedad,es ESP,22,1,2
Pablo Barrios,MF,21.0,Atlético Madrid,es ESP,21,0,2
Thierno Barry,FW,22.0,Villarreal,fr FRA,25,8,3
Davide Bartesaghi,DF,19.0,Milan,it ITA,2,0,0
Marc Bartra,DF,34.0,Betis,es ESP,15,2,0
Federico Baschirotto,DF,28.0,Lecce,it ITA,28,0,0
Daniele Baselli,MF,32.0,Como,it ITA,2,0,0
Calvin Bassey,DF,25.0,Fulham,ng NGA,27,1,0
Aboubacar Bassinga,MF,19.0,Las Palmas,ci CIV,1,0,0
Alessandro Bastoni,DF,25.0,Inter,it ITA,27,1,4
Augusto Batalla,GK,28.0,Rayo Vallecano,ar ARG,22,0,0
Michy Batshuayi,"FW,DF",31.0,Eint Frankfurt,be BEL,4,1,0
Dylan Batubinsika,DF,29.0,Saint-Étienne,cd COD,23,0,0
Maximilian Bauer,DF,25.0,Augsburg,de GER,11,0,0
Oliver Baumann,GK,34.0,Hoffenheim,de GER,20,0,0
Christoph Baumgartner,MF,25.0,RB Leipzig,at AUT,23,2,1
Rafael Bauza,MF,20.0,Espanyol,es ESP,5,0,0
Adrian Beck,"MF,FW",27.0,Heidenheim,de GER,23,2,1
Sheraldo Becker,"FW,MF",30.0,Real Sociedad,sr SUR,20,2,1
Timo Becker,DF,27.0,Holstein Kiel,de GER,21,0,2
Jan Bednarek,DF,28.0,Southampton,pl POL,23,2,0
Donny van de Beek,MF,27.0,Girona,nl NED,20,2,2
Hannes Behrens,DF,,Hoffenheim,de GER,1,0,0
Kevin Behrens,FW,34.0,Wolfsburg,de GER,14,1,0
Maximilian Beier,"FW,MF",22.0,Dortmund,de GER,24,5,3
Luken Beitia,DF,20.0,Real Sociedad,es ESP,1,0,0
Ismael Bekhoucha,MF,20.0,Getafe,ma MAR,1,0,0
Reda Belahyane,MF,20.0,Hellas Verona,ma MAR,22,0,2
Reda Belahyane,MF,20.0,Lazio,ma MAR,1,0,0
Haris Belkebla,MF,31.0,Angers,dz ALG,20,0,1
Yassin Belkhdim,"MF,FW",23.0,Angers,fr FRA,21,0,0
Stefan Bell,DF,33.0,Mainz 05,de GER,15,0,1
Armel Bella Kotchap,DF,23.0,Southampton,de GER,3,0,0
Raoul Bellanova,DF,24.0,Torino,it ITA,1,0,0
Raoul Bellanova,DF,24.0,Atalanta,it ITA,24,0,6
Jean-Ricner Bellegarde,"MF,FW",26.0,Wolves,fr FRA,26,2,4
Héctor Bellerín,DF,29.0,Betis,es ESP,7,0,1
Jude Bellingham,MF,21.0,Real Madrid,eng ENG,21,7,6
Jeanuël Belocian,"DF,MF",20.0,Leverkusen,fr FRA,5,0,0
Andrea Belotti,FW,31.0,Como,it ITA,18,2,0
Fran Beltrán,MF,26.0,Celta Vigo,es ESP,23,2,0
Lucas Beltrán,"MF,FW",23.0,Fiorentina,ar ARG,24,4,4
Eliesse Ben Seghir,"MF,FW",20.0,Monaco,ma MAR,25,6,3
Carlos Benavídez,MF,26.0,Alavés,uy URU,10,1,1
Adrian Benedyczak,"FW,MF",24.0,Parma,pl POL,8,0,0
László Bénes,"MF,FW",27.0,Union Berlin,sk SVK,16,1,1
Iker Benito,"FW,MF",22.0,Osasuna,es ESP,2,0,0
Ismaël Bennacer,MF,27.0,Milan,dz ALG,6,0,0
Ismaël Bennacer,MF,27.0,Marseille,dz ALG,5,0,0
Saïd Benrahma,"FW,MF",29.0,Lyon,dz ALG,13,1,3
Ramy Bensebaini,DF,29.0,Dortmund,dz ALG,22,1,5
Nabil Bentaleb,"MF,FW",30.0,Lille,dz ALG,4,1,0
Rodrigo Bentancur,MF,27.0,Tottenham,uy URU,18,2,0
Lucas Beraldo,DF,21.0,Paris S-G,br BRA,17,1,0
Yuri Berchiche,DF,35.0,Athletic Club,es ESP,22,0,2
Álex Berenguer,"FW,MF",29.0,Athletic Club,es ESP,26,5,6
Sander Berge,MF,27.0,Fulham,no NOR,21,0,0
Lucas Bergvall,MF,19.0,Tottenham,se SWE,21,0,1
Medon Berisha,MF,21.0,Lecce,al ALB,10,0,1
