name,position,age,club,nation,appearances,goals,assists
Harvey Elliott,"MF,FW",21.0,Liverpool,eng ENG,11,0,1
Elif Elmas,FW,25.0,Torino,mk MKD,4,3,0
Elif Elmas,MF,25.0,RB Leipzig,mk MKD,2,0,0
Aritz Elustondo,DF,30.0,Real Sociedad,es ESP,13,0,0
Nico Elvedi,DF,28.0,Gladbach,ch SUI,18,1,1
Adri Embarba,"FW,MF",32.0,Rayo Vallecano,es ESP,25,1,1
Breel Embolo,"FW,MF",28.0,Monaco,ch SUI,21,4,4
Emanuel Emegha,FW,22.0,Strasbourg,nl NED,20,11,2
Emerson,DF,26.0,Milan,br BRA,17,0,0
Yunus Emre Konak,"MF,FW",19.0,Brentford,tr TUR,6,0,0
Julio Enciso,"MF,FW",21.0,Ipswich Town,py PAR,4,0,1
Julio Enciso,"MF,FW",21.0,Brighton,py PAR,12,0,0
Wataru Endo,MF,32.0,Liverpool,jp JPN,14,0,0
Endrick,FW,18.0,Real Madrid,br BRA,16,1,0
Yannik Engelhardt,"MF,DF",24.0,Como,de GER,20,1,1
Arne Engels,"MF,FW",21.0,Augsburg,be BEL,1,0,0
Christian Eriksen,MF,33.0,Manchester Utd,dk DEN,15,0,1
Martin Erlic,DF,27.0,Bologna,hr CRO,6,0,0
Patrick Erras,DF,30.0,Holstein Kiel,de GER,10,1,0
Alfonso Espino,DF,33.0,Rayo Vallecano,uy URU,7,0,0
Sebastiano Esposito,"FW,MF",22.0,Empoli,it ITA,24,8,0
Romain Esse,MF,19.0,Crystal Palace,eng ENG,2,1,0
Samuel Essende,FW,27.0,Augsburg,cd COD,22,5,2
Dario Essugo,MF,19.0,Las Palmas,pt POR,17,1,0
Nahuel Estévez,MF,29.0,Parma,ar ARG,10,0,0
Pervis Estupiñán,DF,27.0,Brighton,ec ECU,21,0,1
Etienne Eto'o,FW,22.0,Rayo Vallecano,cm CMR,1,0,0
Evanilson,FW,25.0,Bournemouth,br BRA,21,6,0
Jonny Evans,DF,37.0,Manchester Utd,nir NIR,6,0,0
Edu Expósito,"MF,FW",28.0,Espanyol,es ESP,6,0,0
Eberechi Eze,"MF,FW",26.0,Crystal Palace,eng ENG,24,2,6
Abde Ezzalzouli,"FW,MF",23.0,Betis,ma MAR,24,1,1
Giovanni Fabbian,MF,22.0,Bologna,it ITA,22,2,1
Łukasz Fabiański,GK,39.0,West Ham,pl POL,13,0,0
Alieu Fadera,"FW,DF",23.0,Como,gm GAM,24,1,3
Wout Faes,DF,26.0,Leicester City,be BEL,25,1,0
Nicolò Fagioli,MF,24.0,Fiorentina,it ITA,5,0,0
Nicolò Fagioli,MF,24.0,Juventus,it ITA,17,0,0
Romain Faivre,"MF,FW",26.0,Brest,fr FRA,18,3,2
Wladimiro Falcone,GK,29.0,Lecce,it ITA,28,0,0
Davide Faraoni,DF,33.0,Hellas Verona,it ITA,7,0,0
Abdul Fatawu Issahaku,FW,21.0,Leicester City,gh GHA,11,0,2
Ansu Fati,FW,22.0,Barcelona,es ESP,4,0,0
Khalil Fayad,"MF,FW",20.0,Montpellier,fr FRA,13,0,0
Jacopo Fazzini,"MF,FW",21.0,Empoli,it ITA,12,0,0
Peter Federico,"MF,FW",22.0,Getafe,do DOM,12,0,0
Nabil Fekir,MF,31.0,Betis,fr FRA,2,0,1
Mattia Felici,"MF,FW",23.0,Cagliari,it ITA,17,0,3
Luiz Felipe,DF,27.0,Marseille,it ITA,1,0,0
João Félix,"FW,MF",25.0,Chelsea,pt POR,12,1,1
João Félix,MF,25.0,Milan,pt POR,6,0,0
Kiko Femenía,DF,34.0,Villarreal,es ESP,21,0,1
Evan Ferguson,FW,20.0,West Ham,ie IRL,3,0,0
Evan Ferguson,FW,20.0,Brighton,ie IRL,13,1,0
Lewis Ferguson,MF,25.0,Bologna,sct SCO,11,1,0
Zinedine Ferhat,FW,32.0,Angers,dz ALG,17,2,0
Bruno Fernandes,MF,30.0,Manchester Utd,pt POR,27,7,7
Edimilson Fernandes,MF,28.0,Brest,ch SUI,14,0,1
Mateus Fernandes,MF,20.0,Southampton,pt POR,26,1,2
Álvaro Fernández,GK,26.0,Sevilla,es ESP,8,0,0
Enzo Fernández,MF,24.0,Chelsea,ar ARG,26,4,5
Roberto Férnandez,FW,22.0,Espanyol,es ESP,6,2,0
Valery Fernández,"MF,FW",25.0,Mallorca,es ESP,13,2,0
Matias Fernandez-Pardo,FW,20.0,Lille,be BEL,13,1,1
Jordan Ferri,MF,32.0,Montpellier,fr FRA,17,0,1
Daniel Fila,FW,22.0,Venezia,cz CZE,3,0,0
Karol Fila,MF,26.0,Strasbourg,pl POL,1,0,0
Kilian Fischer,DF,24.0,Wolfsburg,de GER,24,0,0
Mark Flekken,GK,31.0,Brentford,nl NED,27,0,1
Mateo Flores,MF,20.0,Betis,es ESP,6,0,0
Phil Foden,"MF,FW",24.0,Manchester City,eng ENG,23,7,2
Malick Fofana,FW,19.0,Lyon,be BEL,23,3,4
Rayan Fofana,"FW,MF",19.0,Lens,fr FRA,2,0,0
Seko Fofana,MF,29.0,Rennes,ci CIV,9,1,1
Wesley Fofana,DF,24.0,Chelsea,fr FRA,13,0,0
Yahia Fofana,GK,24.0,Angers,ci CIV,25,0,0
Youssouf Fofana,MF,26.0,Milan,fr FRA,26,1,4
Jonas Föhrenbach,DF,29.0,Heidenheim,de GER,22,0,1
Michael Folorunsho,"FW,MF",27.0,Fiorentina,it ITA,7,0,0
Michael Folorunsho,"FW,MF",27.0,Napoli,it ITA,6,0,0
Lamine Fomba,MF,27.0,Saint-Étienne,fr FRA,7,0,0
Carlos Forbs,"MF,FW",20.0,Wolves,pt POR,9,0,0
Pablo Fornals,"MF,FW",29.0,Betis,es ESP,16,1,0
Omari Forson,"MF,FW",20.0,Monza,eng ENG,5,0,0
Fraser Forster,GK,36.0,Tottenham,eng ENG,7,0,0
Héctor Fort,DF,18.0,Barcelona,es ESP,12,0,0
Dimitri Foulquier,DF,31.0,Valencia,fr FRA,25,0,0
Juan Foyth,DF,27.0,Villarreal,ar ARG,9,0,0
Alejandro Francés,DF,22.0,Girona,es ESP,11,0,0
Przemysław Frankowski,DF,29.0,Lens,pl POL,18,4,2
Enric Franquesa,"DF,FW",28.0,Leganés,es ESP,12,1,0
Ryan Fraser,"FW,DF",31.0,Southampton,sct SCO,8,0,0
Davide Frattesi,MF,25.0,Inter,it ITA,21,4,1
Morten Frendrup,MF,23.0,Genoa,dk DEN,27,2,0
Martin Frese,DF,27.0,Hellas Verona,dk DEN,5,0,0
Remo Freuler,MF,32.0,Bologna,ch SUI,27,0,2
Marco Friedl,DF,26.0,Werder Bremen,at AUT,17,0,0
Marvin Friedrich,DF,29.0,Gladbach,de GER,18,0,1
Jeremie Frimpong,"DF,MF",24.0,Leverkusen,nl NED,25,3,4
Jorge de Frutos,"FW,MF",28.0,Rayo Vallecano,es ESP,25,4,3
Darío Fuentes,DF,22.0,Sevilla,es ESP,1,0,0
Chris Führich,"MF,FW",27.0,Stuttgart,de GER,24,1,2
Shiō Fukuda,"FW,MF",20.0,Gladbach,jp JPN,4,1,0
Angelo Fulgini,"MF,FW",28.0,Lens,fr FRA,20,1,1
Niclas Füllkrug,FW,32.0,West Ham,de GER,9,2,1
Kyogo Furuhashi,FW,30.0,Rennes,jp JPN,3,0,0
Manuel Fuster,"FW,MF",27.0,Las Palmas,es ESP,19,2,0
Matteo Gabbia,DF,25.0,Milan,it ITA,17,1,0
Alessandro Gabrielloni,"FW,MF",30.0,Como,it ITA,11,1,1
Gianluca Gaetano,"MF,FW",24.0,Cagliari,it ITA,20,1,2
Roberto Gagliardini,"MF,DF",30.0,Monza,it ITA,4,0,0
Cody Gakpo,FW,25.0,Liverpool,nl NED,26,8,3
Javi Galán,DF,30.0,Atlético Madrid,es ESP,17,0,2
Iñigo Ruiz de Galarreta,MF,31.0,Athletic Club,es ESP,18,0,2
Conor Gallagher,MF,25.0,Atlético Madrid,eng ENG,21,2,1
Antonino Gallo,DF,25.0,Lecce,it ITA,21,0,2
Gauthier Gallon,GK,31.0,Rennes,fr FRA,1,0,0
Cristian Gamboa,DF,35.0,Bochum,cr CRC,9,1,0
Idrissa Gana Gueye,MF,35.0,Everton,sn SEN,27,0,2
Ignatius Ganago,"FW,MF",26.0,Nantes,cm CMR,11,0,0
Silvère Ganvoula M'Boussy,FW,28.0,Monza,cg CGO,5,0,0
Facundo Garcés,DF,25.0,Alavés,ar ARG,2,0,0
Aleix García,MF,27.0,Leverkusen,es ESP,20,2,3
Álvaro García,"FW,MF",32.0,Rayo Vallecano,es ESP,25,3,4
Andrés García,"DF,MF",22.0,Aston Villa,es ESP,5,0,0
Eric García,"MF,DF",24.0,Barcelona,es ESP,17,1,1
Fran Garcia,DF,25.0,Real Madrid,es ESP,21,0,1
Joan García,GK,23.0,Espanyol,es ESP,25,0,0
Pablo Garcia,FW,18.0,Betis,es ESP,2,0,0
Rubén García,"FW,MF",31.0,Osasuna,es ESP,25,2,4
Ulisses Garcia,DF,29.0,Marseille,ch SUI,13,2,1
Alejandro Garnacho,"FW,MF",20.0,Manchester Utd,ar ARG,27,3,1
James Garner,"MF,DF",23.0,Everton,eng ENG,11,0,1
Yarek Gasiorowski,DF,20.0,Valencia,es ESP,14,0,0
Federico Gatti,DF,26.0,Juventus,it ITA,26,1,0
Gavi,MF,20.0,Barcelona,es ESP,14,0,1
Paulo Gazzaniga,GK,33.0,Girona,ar ARG,26,0,0
Jean-Philippe Gbamin,MF,29.0,Nantes,ci CIV,14,0,0
Mory Gbane,"DF,MF",24.0,Reims,ci CIV,5,0,0
Yann Gboho,"MF,FW",24.0,Toulouse,fr FRA,22,2,2
David de Gea,GK,34.0,Fiorentina,es ESP,25,0,1
Viggo Gebel,MF,17.0,RB Leipzig,de GER,1,0,0
Lutsharel Geertruida,DF,24.0,RB Leipzig,nl NED,18,1,0
Dennis Geiger,"MF,FW",26.0,Hoffenheim,de GER,14,0,0
Valentin Gendrey,DF,24.0,Lecce,fr FRA,2,0,0
Valentin Gendrey,DF,24.0,Hoffenheim,fr FRA,17,1,1
Denis Genreau,MF,25.0,Toulouse,au AUS,8,0,0
Tyrique George,FW,19.0,Chelsea,eng ENG,4,0,1
Yannick Gerhardt,"MF,DF",30.0,Wolfsburg,de GER,23,1,1
Max Geschwill,DF,23.0,Holstein Kiel,de GER,17,1,2
Daniele Ghilardi,DF,22.0,Hellas Verona,it ITA,15,0,0
Lautaro Gianetti,DF,31.0,Udinese,ar ARG,12,1,0
Dimitris Giannoulis,DF,29.0,Augsburg,gr GRE,22,0,4
Morgan Gibbs-White,MF,25.0,Nott'ham Forest,eng ENG,24,5,6
Samuel Gigot,DF,31.0,Lazio,fr FRA,10,2,0
Armin Gigovic,MF,22.0,Holstein Kiel,ba BIH,24,4,0
Bryan Gil,"FW,MF",24.0,Girona,es ESP,24,3,3
Mario Gila,DF,24.0,Lazio,es ESP,23,1,0
Billy Gilmour,MF,23.0,Brighton,sct SCO,2,0,0
Billy Gilmour,MF,23.0,Napoli,sct SCO,16,0,0
Benedikt Gimber,DF,28.0,Heidenheim,de GER,23,0,0
Santiago Giménez,FW,23.0,Milan,mx MEX,6,2,1
Gvidas Gineitis,MF,20.0,Torino,lt LTU,21,2,1
Matthias Ginter,DF,31.0,Freiburg,de GER,24,2,0
Jamie Gittens,"FW,MF",20.0,Dortmund,eng ENG,25,7,3
Serge Gnabry,"FW,MF",29.0,Bayern Munich,de GER,18,5,3
Ben Godfrey,DF,27.0,Ipswich Town,eng ENG,2,0,0
Ben Godfrey,DF,27.0,Atalanta,eng ENG,1,0,0
Martial Godo,FW,21.0,Fulham,eng ENG,1,0,0
Saba Goglichidze,DF,20.0,Empoli,ge GEO,25,0,0
Edoardo Goldaniga,DF,31.0,Como,it ITA,23,0,0
Pierluigi Gollini,GK,29.0,Genoa,it ITA,7,0,0
Aleksandr Golovin,"MF,FW",28.0,Monaco,ru RUS,17,3,0
André Gomes,MF,31.0,Lille,pt POR,14,0,0
Angel Gomes,MF,24.0,Lille,eng ENG,14,1,1
João Gomes,MF,24.0,Wolves,br BRA,26,3,1
Rodrigo Gomes,"DF,FW",21.0,Wolves,pt POR,17,1,0
Toti Gomes,DF,26.0,Wolves,pt POR,21,0,1
Carlos Gómez,"MF,FW",22.0,Rennes,co COL,13,1,0
Dani Gómez,FW,26.0,Valencia,es ESP,14,2,0
Diego Gómez,MF,21.0,Brighton,py PAR,6,0,0
Joe Gomez,DF,27.0,Liverpool,eng ENG,9,0,0
Moi Gómez,"MF,FW",30.0,Osasuna,es ESP,20,0,0
Sergi Gómez,DF,32.0,Espanyol,es ESP,11,0,0
Sergio Gómez,"MF,DF",24.0,Real Sociedad,es ESP,26,0,4
Unai Gómez,"MF,FW",21.0,Athletic Club,es ESP,22,1,2
Tidiam Gomis,MF,18.0,RB Leipzig,fr FRA,1,0,0
Fabio González,MF,28.0,Las Palmas,es ESP,2,0,0
Nicolás González,MF,23.0,Manchester City,es ESP,4,0,0
Nicolás González,FW,26.0,Juventus,ar ARG,16,1,2
Urko González,MF,23.0,Espanyol,es ESP,4,0,0
Urko González,MF,23.0,Real Sociedad,es ESP,1,0,0
Anthony Gordon,FW,24.0,Newcastle Utd,eng ENG,26,6,5
Leon Goretzka,MF,30.0,Bayern Munich,de GER,19,4,1
Mathieu Gorgelin,GK,34.0,Le Havre,fr FRA,8,0,0
Andoni Gorosabel,DF,28.0,Athletic Club,es ESP,13,0,2
Robin Gosens,DF,30.0,Fiorentina,de GER,25,3,4
Robin Gosens,DF,30.0,Union Berlin,de GER,1,0,0
Mario Götze,"MF,FW",32.0,Eint Frankfurt,de GER,20,2,2
Amine Gouiri,"FW,MF",25.0,Marseille,dz ALG,6,3,3
Amine Gouiri,"MF,FW",25.0,Rennes,dz ALG,19,3,2
Lucas Gourna-Douath,MF,21.0,Roma,fr FRA,2,0,0
Jeffrey Gouweleeuw,DF,33.0,Augsburg,nl NED,24,1,3
Kamil Grabara,GK,26.0,Wolfsburg,pl POL,20,0,0
Jonathan Gradit,DF,32.0,Lens,fr FRA,18,0,0
José Gragera,MF,24.0,Espanyol,es ESP,10,0,0
Samuel Grandsir,"MF,FW",28.0,Le Havre,fr FRA,6,0,0
Alberto Grassi,MF,30.0,Empoli,it ITA,19,1,0
Ryan Gravenberch,MF,22.0,Liverpool,nl NED,29,0,2
Archie Gray,DF,18.0,Tottenham,eng ENG,20,0,0
Jack Grealish,"FW,MF",29.0,Manchester City,eng ENG,16,0,1
Jacob Greaves,DF,24.0,Ipswich Town,eng ENG,18,1,0
Mason Greenwood,"FW,MF",23.0,Marseille,eng ENG,25,15,3
Michael Gregoritsch,FW,30.0,Freiburg,at AUT,14,1,1
Dominik Greif,GK,27.0,Mallorca,sk SVK,22,0,0
Antoine Griezmann,"FW,MF",33.0,Atlético Madrid,fr FRA,27,8,5
Vincenzo Grifo,"FW,MF",31.0,Freiburg,it ITA,25,8,7
Florian Grillitsch,MF,29.0,Valladolid,at AUT,5,0,0
Florian Grillitsch,MF,29.0,Hoffenheim,at AUT,8,0,0
Álex Grimaldo,DF,29.0,Leverkusen,es ESP,23,2,5
Pascal Groß,"MF,DF",33.0,Dortmund,de GER,23,0,6
Brajan Gruda,"FW,MF",20.0,Brighton,de GER,12,0,1
Marco Grüll,"FW,MF",26.0,Werder Bremen,at AUT,22,5,1
Albert Grønbaek,"MF,FW",23.0,Southampton,dk DEN,3,0,0
Albert Grønbaek,"MF,FW",23.0,Rennes,dk DEN,16,2,1
Vicente Guaita,GK,38.0,Celta Vigo,es ESP,23,0,0
Sergi Guardiola,FW,33.0,Rayo Vallecano,es ESP,11,0,0
Nemanja Gudelj,"DF,MF",33.0,Sevilla,rs SRB,22,0,1
Gabriel Gudmundsson,DF,25.0,Lille,se SWE,23,2,0
Gonçalo Guedes,"MF,FW",28.0,Wolves,pt POR,23,2,4
Axel Gueguin,FW,19.0,Montpellier,fr FRA,1,0,0
Marc Guéhi,DF,24.0,Crystal Palace,eng ENG,27,3,2
Mattéo Guendouzi,MF,25.0,Lazio,fr FRA,27,1,3
Javier Guerra,MF,22.0,Valencia,es ESP,26,1,3
Raphaël Guerreiro,"DF,MF",31.0,Bayern Munich,pt POR,17,3,2
Evann Guessand,"FW,MF",23.0,Nice,ci CIV,25,10,7
Ander Guevara,MF,27.0,Alavés,es ESP,24,0,1
Pape Gueye,"MF,FW",26.0,Villarreal,sn SEN,24,2,0
Morgan Guilavogui,"FW,MF",27.0,St. Pauli,gn GUI,18,5,1
Frederic Guilbert,DF,30.0,Lecce,fr FRA,23,0,1
Luis Guilherme,"MF,FW",19.0,West Ham,br BRA,7,0,0
Hugo Guillamón,MF,25.0,Valencia,es ESP,11,0,0
Bruno Guimarães,MF,27.0,Newcastle Utd,br BRA,27,2,6
Carlos Guirao,MF,21.0,Betis,es ESP,2,0,0
Bahereba Guirassy,"FW,MF",18.0,Nantes,fr FRA,15,2,0
Serhou Guirassy,FW,28.0,Dortmund,gn GUI,22,14,1
Marc Guiu,FW,19.0,Chelsea,es ESP,3,0,0
Péter Gulácsi,GK,34.0,RB Leipzig,hu HUN,24,0,0
Arda Güler,"MF,FW",20.0,Real Madrid,tr TUR,17,1,3
Gerard Gumbau,MF,30.0,Rayo Vallecano,es ESP,15,0,1
Robert Gumny,DF,26.0,Augsburg,pl POL,4,0,0
İlkay Gündoğan,MF,34.0,Manchester City,de GER,24,0,2
Christian Günter,DF,32.0,Freiburg,de GER,24,2,1
Jon Guridi,"MF,FW",30.0,Alavés,es ESP,23,2,0
Gorka Guruzeta,FW,28.0,Athletic Club,es ESP,26,6,2
Malo Gusto,DF,21.0,Chelsea,fr FRA,23,0,1
Miguel Gutiérrez,"DF,MF",23.0,Girona,es ESP,23,1,4
Albert Guðmundsson,"MF,FW",27.0,Fiorentina,is ISL,16,5,0
Joško Gvardiol,DF,23.0,Manchester City,hr CRO,27,5,0
Emmanuel Gyasi,"DF,FW",31.0,Empoli,gh GHA,28,2,1
Christian Gytkjær,FW,34.0,Venezia,dk DEN,20,2,0
Erling Haaland,FW,24.0,Manchester City,no NOR,27,20,3
Nicolas Haas,MF,29.0,Empoli,ch SUI,10,0,0
Janik Haberer,"MF,DF",30.0,Union Berlin,de GER,19,0,0
Robin Hack,FW,26.0,Gladbach,de GER,24,4,4
Saad El Haddad,MF,19.0,Venezia,ma MAR,3,0,0
Munir El Haddadi,"FW,MF",29.0,Leganés,ma MAR,15,2,0
Amadou Haidara,MF,27.0,RB Leipzig,ml MLI,21,0,1
Massadio Haïdara,DF,32.0,Brest,ml MLI,14,0,0
Antoine Hainaut,"DF,MF",23.0,Parma,fr FRA,19,1,0
Mohamed Haj,MF,19.0,Parma,tn TUN,14,1,2
Achraf Hakimi,DF,26.0,Paris S-G,ma MAR,20,4,6
Lewis Hall,DF,20.0,Newcastle Utd,eng ENG,27,0,4
Sébastien Haller,FW,30.0,Leganés,ci CIV,8,0,0
Ali Al Hamadi,FW,23.0,Ipswich Town,iq IRQ,11,0,0
Andreas Hanche-Olsen,DF,28.0,Mainz 05,no NOR,14,0,1
Florent Hanin,DF,35.0,Angers,dz ALG,24,1,2
Ridgeciano Haps,DF,31.0,Venezia,sr SUR,15,0,0
Amine Harit,MF,27.0,Marseille,ma MAR,9,2,3
Marcus Harness,MF,29.0,Ipswich Town,eng ENG,2,0,0
Phil Harres,FW,22.0,Holstein Kiel,de GER,17,7,1
Jack Harrison,FW,28.0,Everton,eng ENG,24,1,0
Abdou Harroui,"MF,FW",27.0,Hellas Verona,nl NED,10,1,2
Taylor Harwood-Bellis,DF,23.0,Southampton,eng ENG,25,1,0
Hans Hateboer,DF,31.0,Rennes,nl NED,23,0,0
Kjetil Haug,GK,26.0,Toulouse,no NOR,5,0,0
Kai Havertz,"FW,MF",25.0,Arsenal,de GER,21,9,3
Ayden Heaven,DF,18.0,Manchester Utd,eng ENG,1,0,0
Jan Paul van Hecke,DF,24.0,Brighton,nl NED,26,1,1
Hwang Hee-chan,"MF,FW",29.0,Wolves,kr KOR,18,2,0
Dean Henderson,GK,27.0,Crystal Palace,eng ENG,28,0,0
Liam Henderson,MF,28.0,Empoli,sct SCO,27,0,2
Ramon Hendriks,DF,23.0,Stuttgart,nl NED,18,0,0
Paul Hennrich,MF,20.0,Hoffenheim,de GER,1,0,0
Benjamin Henrichs,DF,28.0,RB Leipzig,de GER,15,0,2
Luis Henrique,"DF,FW",23.0,Marseille,br BRA,25,7,4
Rico Henry,DF,27.0,Brentford,eng ENG,1,0,0
Mads Hermansen,GK,24.0,Leicester City,dk DEN,21,0,0
Mario Hermoso,DF,29.0,Roma,es ESP,8,0,0
Mario Hermoso,DF,29.0,Leverkusen,es ESP,4,0,0
Javi Hernández,DF,26.0,Leganés,es ESP,21,0,1
Aridane Hernández,DF,35.0,Rayo Vallecano,es ESP,6,0,0
Lucas Hernández,DF,29.0,Paris S-G,fr FRA,10,0,0
Theo Hernández,DF,27.0,Milan,fr FRA,25,3,2
Hernani,MF,30.0,Parma,br BRA,17,3,2
Jorge Herrando,DF,24.0,Osasuna,es ESP,11,0,0
Ander Herrera,MF,35.0,Athletic Club,es ESP,8,0,0
Sergio Herrera,GK,31.0,Osasuna,es ESP,26,0,0
Yangel Herrera,MF,27.0,Girona,ve VEN,18,4,3
Juan Herzog,DF,21.0,Las Palmas,es ESP,12,0,0
Son Heung-min,FW,32.0,Tottenham,kr KOR,25,7,9
Isak Hien,DF,26.0,Atalanta,se SWE,22,0,0
Omar El Hilali,DF,21.0,Espanyol,ma MAR,24,0,2
James Hill,DF,23.0,Bournemouth,eng ENG,8,0,1
Piero Hincapié,DF,23.0,Leverkusen,ec ECU,23,1,1
Jack Hinshelwood,"MF,DF",19.0,Brighton,eng ENG,16,2,0
George Hirst,FW,26.0,Ipswich Town,eng ENG,16,1,1
Adam Hložek,"FW,MF",22.0,Hoffenheim,cz CZE,20,6,2
Ki-Jana Hoever,DF,23.0,Auxerre,nl NED,22,0,1
Nicolas Höfler,MF,35.0,Freiburg,de GER,16,0,0
Jonas Hofmann,"MF,DF",32.0,Leverkusen,de GER,6,1,0
Philipp Hofmann,FW,31.0,Bochum,de GER,25,2,3
Lucas Höler,"FW,MF",30.0,Freiburg,de GER,23,2,4
Mason Holgate,"FW,DF",28.0,Everton,eng ENG,1,0,0
Benedict Hollerbach,"FW,MF",23.0,Union Berlin,de GER,25,6,1
Emil Holm,DF,24.0,Bologna,se SWE,15,1,1
Lewis Holtby,MF,34.0,Holstein Kiel,de GER,20,0,1
Gerrit Holtmann,"DF,FW",29.0,Bochum,ph PHI,15,0,1
Franck Honorat,FW,28.0,Gladbach,fr FRA,12,2,4
Mathias Honsak,"FW,DF",28.0,Heidenheim,at AUT,18,4,1
Dinko Horkaš,GK,26.0,Las Palmas,hr CRO,3,0,0
Timo Horn,GK,31.0,Bochum,de GER,4,0,0
Cédric Hountondji,DF,31.0,Angers,bj BEN,3,0,0
Ilyes Housni,"FW,MF",19.0,Le Havre,fr FRA,9,0,0
Lukáš Hrádecký,GK,35.0,Leverkusen,fi FIN,22,0,0
Robin Hranáč,DF,25.0,Hoffenheim,cz CZE,4,0,0
Callum Hudson-Odoi,"FW,MF",24.0,Nott'ham Forest,eng ENG,24,5,2
Will Hughes,MF,29.0,Crystal Palace,eng ENG,24,0,3
Dean Huijsen,DF,19.0,Bournemouth,es ESP,22,2,0
Mats Hummels,DF,36.0,Roma,de GER,11,0,0
Omari Hutchinson,"MF,FW",21.0,Ipswich Town,eng ENG,26,3,2
Elseid Hysaj,DF,31.0,Lazio,al ALB,6,0,2
Hong Hyunseok,MF,25.0,Mainz 05,kr KOR,16,0,1
Pierre Højbjerg,MF,29.0,Marseille,dk DEN,24,2,3
Oscar Højlund,MF,20.0,Eint Frankfurt,dk DEN,14,1,0
Rasmus Højlund,FW,22.0,Manchester Utd,dk DEN,23,2,0
Pablo Ibáñez,MF,26.0,Osasuna,es ESP,17,0,1
Hafiz Ibrahim,FW,19.0,Reims,ng NGA,2,0,0
Arijon Ibrahimović,FW,19.0,Bayern Munich,de GER,1,0,0
Stanis Idumbo,"FW,MF",19.0,Sevilla,be BEL,10,1,1
Jay Idzes,DF,24.0,Venezia,id IDN,26,1,0
Iglesias,DF,26.0,Getafe,es ESP,26,0,1
Borja Iglesias,FW,32.0,Celta Vigo,es ESP,27,5,1
Igor,DF,27.0,Brighton,br BRA,12,0,0
Kelechi Iheanacho,FW,28.0,Sevilla,ng NGA,9,0,0
Jonathan Ikone,"FW,MF",26.0,Como,fr FRA,5,1,0
Jonathan Ikone,"FW,MF",26.0,Fiorentina,fr FRA,14,0,0
George Ilenikhena,FW,18.0,Monaco,fr FRA,20,3,2
Andrej Ilic,FW,24.0,Union Berlin,rs SRB,7,2,0
Ivan Ilić,MF,23.0,Torino,rs SRB,12,1,0
Rareş Ilie,MF,21.0,Nice,ro ROU,2,0,0
Samuel Iling-Junior,"FW,MF",21.0,Bologna,eng ENG,7,1,0
Danny Ings,"FW,MF",32.0,West Ham,eng ENG,14,1,2
Alessio Iovine,"DF,FW",34.0,Como,it ITA,9,0,0
Tim Iroegbunam,MF,21.0,Everton,eng ENG,12,0,1
Jackson Irvine,MF,32.0,St. Pauli,au AUS,25,0,6
Andy Irving,MF,24.0,West Ham,sct SCO,10,0,0
Alexander Isak,FW,25.0,Newcastle Utd,se SWE,24,19,5
Gustav Isaksen,FW,23.0,Lazio,dk DEN,27,3,2
Isco,MF,32.0,Betis,es ESP,12,5,2
Ismaily,DF,35.0,Lille,br BRA,8,0,1
Ardian Ismajli,DF,28.0,Empoli,al ALB,23,0,0
Yanis Issoufou,"MF,FW",18.0,Montpellier,fr FRA,4,0,0
Ko Itakura,DF,28.0,Gladbach,jp JPN,23,1,0
Hiroki Ito,DF,25.0,Bayern Munich,jp JPN,4,1,0
Junya Ito,FW,32.0,Reims,jp JPN,25,4,3
Marko Ivezić,DF,23.0,Holstein Kiel,rs SRB,18,0,0
Alex Iwobi,"FW,MF",28.0,Fulham,ng NGA,28,7,4
Armando Izzo,DF,33.0,Monza,it ITA,25,0,1
Fellipe Jack,DF,19.0,Como,br BRA,7,0,0
Nicolas Jackson,FW,23.0,Chelsea,sn SEN,23,9,5
Jérémy Jacquet,DF,19.0,Rennes,fr FRA,5,0,1
Lee Jae-sung,MF,32.0,Mainz 05,kr KOR,24,6,5
Ivan Jaime Pajuelo,MF,24.0,Valencia,es ESP,5,0,0
Kristijan Jakić,MF,27.0,Augsburg,hr CRO,22,0,1
Karl Jakob Hein,GK,22.0,Valladolid,ee EST,27,0,0
Ismail Jakobs,DF,25.0,Monaco,sn SEN,2,0,0
Jordan James,MF,20.0,Rennes,wls WAL,16,0,1
Reece James,"DF,MF",25.0,Chelsea,eng ENG,10,1,0
Vitaly Janelt,MF,26.0,Brentford,de GER,27,1,3
Adnan Januzaj,"MF,FW",30.0,Las Palmas,be BEL,9,2,1
Vitezslav Jaros,GK,23.0,Liverpool,cz CZE,1,0,0
Ali Jasim,"FW,DF",21.0,Como,iq IRQ,2,0,0
Mikel Jauregizar,MF,21.0,Athletic Club,es ESP,24,2,1
Dominik Javorček,"DF,MF",22.0,Holstein Kiel,sk SVK,12,0,2
Gaby Jean,DF,25.0,Lecce,fr FRA,17,0,0
Daniel Jebbison,FW,21.0,Bournemouth,eng ENG,8,0,0
Finn Jeltsch,DF,18.0,Stuttgart,de GER,3,0,0
Malcolm Jeng,DF,20.0,Reims,se SWE,1,0,0
Fredrik Jensen,MF,27.0,Augsburg,fi FIN,13,0,0
Mathias Jensen,MF,29.0,Brentford,dk DEN,16,0,1
Moritz Jenz,DF,25.0,Mainz 05,de GER,14,0,0
Gabriel Jesus,FW,27.0,Arsenal,br BRA,17,3,0
